timestamp,cpu_percent,mem_percent,raw_pred,voted_pred,active_sched,switched
1775027711.8132627,64.0,19.1,idle,idle,idle,False
1775027711.8656833,67.9,19.1,idle,idle,idle,False
1775027711.9286706,61.9,19.1,idle,idle,idle,False
1775027711.9949303,66.3,19.1,idle,idle,idle,False
1775027712.045161,11.6,18.8,io_bound,idle,idle,False
1775027712.0952933,8.2,18.7,io_bound,io_bound,io_bound,True
1775027712.1670284,4.1,18.7,io_bound,io_bound,io_bound,False
1775027712.2172174,4.3,18.7,io_bound,io_bound,io_bound,False
1775027712.2674282,5.6,18.7,io_bound,io_bound,io_bound,False
1775027712.3176284,5.7,18.7,io_bound,io_bound,io_bound,False
1775027712.367811,6.9,18.7,io_bound,io_bound,io_bound,False
1775027712.4178536,7.0,18.7,io_bound,io_bound,io_bound,False
1775027712.4679995,4.3,18.8,idle,io_bound,io_bound,False
1775027712.518139,4.3,18.8,idle,idle,io_bound,False
1775027712.5682552,5.7,18.8,idle,idle,io_bound,False
1775027712.6184232,6.9,18.8,idle,idle,io_bound,False
1775027712.6685443,4.3,18.8,idle,idle,idle,True
1775027712.718723,4.3,18.8,idle,idle,idle,False
1775027712.7690263,6.9,18.8,idle,idle,idle,False
1775027712.8190556,7.0,18.8,idle,idle,idle,False
1775027712.8692153,5.6,18.8,idle,idle,idle,False
1775027712.9193873,5.6,18.8,idle,idle,idle,False
1775027712.9695852,5.7,18.8,idle,idle,idle,False
1775027713.0197372,5.6,18.8,idle,idle,idle,False
1775027713.0698946,4.3,18.8,idle,idle,idle,False
1775027713.1200929,5.6,18.8,idle,idle,idle,False
1775027713.170242,5.6,18.8,idle,idle,idle,False
1775027713.220355,5.6,18.8,idle,idle,idle,False
1775027713.2704384,4.3,18.8,idle,idle,idle,False
1775027713.3206303,2.9,18.8,idle,idle,idle,False
1775027713.3707564,4.3,18.8,idle,idle,idle,False
1775027713.4208784,9.5,18.8,idle,idle,idle,False
1775027713.4710252,9.7,18.8,idle,idle,idle,False
1775027713.521178,8.3,18.8,idle,idle,idle,False
1775027713.5712638,8.3,18.8,idle,idle,idle,False
1775027713.621341,8.2,18.9,idle,idle,idle,False
1775027713.6714566,5.7,18.9,idle,idle,idle,False
1775027713.721589,6.9,18.9,idle,idle,idle,False
1775027713.7716808,5.7,18.9,idle,idle,idle,False
1775027713.8217645,7.0,18.9,idle,idle,idle,False
1775027713.8718438,7.0,18.9,idle,idle,idle,False
1775027713.9219978,8.3,18.9,idle,idle,idle,False
1775027713.9721317,4.3,18.9,idle,idle,idle,False
1775027714.0222387,5.7,18.9,idle,idle,idle,False
1775027714.0723734,5.7,18.9,idle,idle,idle,False
1775027714.1225045,7.0,18.9,idle,idle,idle,False
1775027714.1725407,7.0,18.9,idle,idle,idle,False
1775027714.2226174,5.7,18.9,idle,idle,idle,False
1775027714.2726772,5.6,18.9,idle,idle,idle,False
1775027714.3227878,8.3,18.9,idle,idle,idle,False
1775027714.3729126,6.9,18.9,idle,idle,idle,False
1775027714.423001,4.3,18.9,idle,idle,idle,False
1775027714.4731333,5.6,18.9,idle,idle,idle,False
1775027714.5232375,7.0,18.8,idle,idle,idle,False
1775027714.5733669,6.9,18.8,idle,idle,idle,False
1775027714.623494,7.0,18.8,idle,idle,idle,False
1775027714.673679,4.3,18.8,idle,idle,idle,False
1775027714.7456841,6.0,18.8,idle,idle,idle,False
1775027714.7958257,8.3,18.8,idle,idle,idle,False
1775027714.8460252,2.9,18.8,idle,idle,idle,False
1775027714.896144,7.0,18.8,idle,idle,idle,False
1775027714.9462767,6.9,18.8,idle,idle,idle,False
1775027714.9964216,5.6,18.8,idle,idle,idle,False
1775027715.0465467,5.6,18.8,idle,idle,idle,False
1775027715.0967646,4.3,18.8,idle,idle,idle,False
1775027715.2318912,2.8,18.8,idle,idle,idle,False
1775027715.2820034,5.7,18.8,idle,idle,idle,False
1775027715.3320613,8.3,18.8,idle,idle,idle,False
1775027715.382247,7.1,18.8,idle,idle,idle,False
1775027715.4323854,2.9,18.8,idle,idle,idle,False
1775027715.482537,4.3,18.8,idle,idle,idle,False
1775027715.5326986,5.6,18.8,idle,idle,idle,False
1775027715.6030402,4.2,18.8,idle,idle,idle,False
1775027715.653108,5.7,18.9,idle,idle,idle,False
1775027715.7032897,4.3,18.8,idle,idle,idle,False
1775027715.7534237,4.2,18.8,idle,idle,idle,False
1775027715.803529,5.7,18.9,idle,idle,idle,False
1775027715.8537617,6.9,18.9,idle,idle,idle,False
1775027715.9040413,4.2,18.9,idle,idle,idle,False
1775027715.95415,5.7,18.9,idle,idle,idle,False
1775027716.004225,2.9,18.9,idle,idle,idle,False
1775027716.0543346,6.9,18.9,idle,idle,idle,False
1775027716.1044843,5.6,18.9,idle,idle,idle,False
1775027716.154746,4.3,18.9,idle,idle,idle,False
1775027716.204929,6.9,18.9,idle,idle,idle,False
1775027716.2550821,5.6,18.9,idle,idle,idle,False
1775027716.3051898,6.9,18.9,idle,idle,idle,False
1775027716.355283,5.7,18.9,idle,idle,idle,False
1775027716.4053662,5.6,18.9,idle,idle,idle,False
1775027716.455439,2.9,18.9,idle,idle,idle,False
1775027716.50554,5.6,18.9,idle,idle,idle,False
1775027716.5556843,8.3,18.8,idle,idle,idle,False
1775027716.606112,5.6,18.9,idle,idle,idle,False
1775027716.6561491,5.7,18.9,idle,idle,idle,False
1775027716.70629,7.0,18.9,idle,idle,idle,False
1775027716.756373,8.2,18.8,idle,idle,idle,False
1775027716.8064606,7.0,18.8,idle,idle,idle,False
1775027716.8565443,2.9,18.8,idle,idle,idle,False
1775027716.9066525,8.2,18.9,idle,idle,idle,False
1775027716.9568446,8.2,18.9,idle,idle,idle,False
1775027717.0069442,7.0,18.9,idle,idle,idle,False
1775027717.0570526,2.9,18.9,idle,idle,idle,False
1775027717.107157,5.7,18.9,idle,idle,idle,False
1775027717.1572497,4.3,18.9,idle,idle,idle,False
1775027717.207352,8.5,18.9,idle,idle,idle,False
1775027717.2573934,4.3,18.9,idle,idle,idle,False
1775027717.3074982,7.0,18.9,idle,idle,idle,False
1775027717.3575869,2.9,18.9,idle,idle,idle,False
1775027717.4100032,6.8,18.9,idle,idle,idle,False
1775027717.4601157,4.3,18.9,idle,idle,idle,False
1775027717.5118618,6.9,18.9,idle,idle,idle,False
1775027717.573381,8.0,18.9,idle,idle,idle,False
1775027717.6234958,2.9,18.9,idle,idle,idle,False
1775027717.673721,6.9,18.8,idle,idle,idle,False
1775027717.7238667,2.9,18.8,idle,idle,idle,False
1775027717.7740886,8.2,18.8,idle,idle,idle,False
1775027717.824183,1.5,18.9,idle,idle,idle,False
1775027717.8743687,2.9,18.9,idle,idle,idle,False
1775027717.924456,4.3,18.9,idle,idle,idle,False
1775027717.9746363,8.3,18.9,idle,idle,idle,False
1775027718.0248406,8.1,18.9,idle,idle,idle,False
1775027718.0750377,7.0,18.9,idle,idle,idle,False
1775027718.1251824,4.2,18.9,idle,idle,idle,False
1775027718.1753094,5.6,18.9,idle,idle,idle,False
1775027718.2258596,7.0,18.9,idle,idle,idle,False
1775027718.279671,7.9,18.9,idle,idle,idle,False
1775027718.3319232,4.2,18.9,idle,idle,idle,False
1775027718.3820543,7.0,18.9,idle,idle,idle,False
1775027718.4321663,5.8,18.9,idle,idle,idle,False
1775027718.4823012,10.0,18.9,idle,idle,idle,False
1775027718.5328825,5.9,18.9,idle,idle,idle,False
1775027718.5829911,5.8,18.9,idle,idle,idle,False
1775027718.633099,6.9,18.9,idle,idle,idle,False
1775027718.683301,7.0,18.9,idle,idle,idle,False
1775027718.7333388,4.3,18.9,idle,idle,idle,False
1775027718.7834294,7.2,18.9,idle,idle,idle,False
1775027718.8335145,6.1,18.9,idle,idle,idle,False
1775027718.8837202,7.8,18.9,idle,idle,idle,False
1775027718.9622738,11.0,18.9,idle,idle,idle,False
1775027719.012366,7.1,18.9,idle,idle,idle,False
1775027719.062418,13.3,18.9,idle,idle,idle,False
1775027719.1124532,7.2,18.9,idle,idle,idle,False
1775027719.1625965,5.7,18.9,idle,idle,idle,False
1775027719.212634,5.8,18.9,idle,idle,idle,False
1775027719.2627275,8.5,18.9,idle,idle,idle,False
1775027719.3128393,4.3,18.9,idle,idle,idle,False
1775027719.3629193,8.5,18.9,idle,idle,idle,False
1775027719.412952,7.1,18.9,idle,idle,idle,False
1775027719.4630218,5.8,18.9,idle,idle,idle,False
1775027719.5131192,9.7,18.9,idle,idle,idle,False
1775027719.5631897,4.5,18.9,idle,idle,idle,False
1775027719.617069,5.4,18.9,idle,idle,idle,False
1775027719.6684837,9.7,18.9,idle,idle,idle,False
1775027719.718541,9.9,18.9,idle,idle,idle,False
1775027719.7685924,8.5,18.9,idle,idle,idle,False
1775027719.8187068,8.5,18.9,idle,idle,idle,False
1775027719.8688157,7.0,18.9,idle,idle,idle,False
1775027719.9188938,5.8,18.9,idle,idle,idle,False
1775027719.9690034,7.1,18.9,idle,idle,idle,False
1775027720.0190778,7.1,18.9,idle,idle,idle,False
1775027720.069201,4.3,18.9,idle,idle,idle,False
1775027720.1197526,11.0,18.9,idle,idle,idle,False
1775027720.1693876,7.1,18.9,idle,idle,idle,False
1775027720.21946,8.5,18.9,idle,idle,idle,False
1775027720.269562,7.1,18.9,idle,idle,idle,False
1775027720.3196268,7.0,18.9,idle,idle,idle,False
1775027720.3697627,7.1,18.9,idle,idle,idle,False
1775027720.4198081,5.8,18.9,idle,idle,idle,False
1775027720.4701335,7.0,18.9,idle,idle,idle,False
1775027720.5202703,9.9,18.9,idle,idle,idle,False
1775027720.570358,5.8,18.9,idle,idle,idle,False
1775027720.6204948,8.5,18.9,idle,idle,idle,False
1775027720.673304,8.2,18.9,idle,idle,idle,False
1775027720.7239454,8.6,18.9,idle,idle,idle,False
1775027720.7740495,9.9,18.9,idle,idle,idle,False
1775027720.8257246,7.0,18.9,idle,idle,idle,False
1775027720.8758078,7.2,18.9,idle,idle,idle,False
1775027720.9273283,8.3,18.9,idle,idle,idle,False
1775027720.9774513,7.2,18.9,idle,idle,idle,False
1775027721.0281396,5.8,18.9,idle,idle,idle,False
1775027721.07827,5.9,18.9,idle,idle,idle,False
1775027721.1283758,5.7,18.9,idle,idle,idle,False
1775027721.1998909,9.9,18.9,idle,idle,idle,False
1775027721.2500503,11.0,18.9,idle,idle,idle,False
1775027721.3001027,3.0,18.9,idle,idle,idle,False
1775027721.3502088,10.8,18.9,idle,idle,idle,False
1775027721.4002616,5.8,18.9,idle,idle,idle,False
1775027721.4503455,9.7,18.9,idle,idle,idle,False
1775027721.5004413,4.4,18.9,idle,idle,idle,False
1775027721.5505188,7.2,18.9,idle,idle,idle,False
1775027721.6005754,7.1,18.9,idle,idle,idle,False
1775027721.6506622,8.3,18.9,idle,idle,idle,False
1775027721.700778,4.4,18.9,idle,idle,idle,False
1775027721.7508886,5.8,18.9,idle,idle,idle,False
1775027721.8009603,8.3,18.9,idle,idle,idle,False
1775027721.8510513,7.1,18.9,idle,idle,idle,False
1775027721.9010854,5.9,18.9,idle,idle,idle,False
1775027721.9511623,7.0,18.9,idle,idle,idle,False
1775027722.001207,8.3,18.9,idle,idle,idle,False
1775027722.051291,4.3,18.9,idle,idle,idle,False
1775027722.1013992,7.1,18.9,idle,idle,idle,False
1775027722.1514554,8.6,18.9,idle,idle,idle,False
1775027722.2014906,8.6,18.9,idle,idle,idle,False
1775027722.2520444,7.1,18.9,idle,idle,idle,False
1775027722.3021731,11.0,18.9,idle,idle,idle,False
1775027722.3522382,4.5,18.9,idle,idle,idle,False
1775027722.4023461,9.7,18.9,idle,idle,idle,False
1775027722.4524043,7.1,18.9,idle,idle,idle,False
1775027722.5025034,8.3,18.9,idle,idle,idle,False
1775027722.5525692,7.1,18.9,idle,idle,idle,False
1775027722.6026747,7.2,18.9,idle,idle,idle,False
1775027722.6527305,8.3,18.9,idle,idle,idle,False
1775027722.702886,8.5,18.9,idle,idle,idle,False
1775027722.7529602,4.4,18.9,idle,idle,idle,False
1775027722.803058,8.6,18.9,idle,idle,idle,False
1775027722.8531158,5.8,18.9,idle,idle,idle,False
1775027722.9031918,3.0,18.9,idle,idle,idle,False
