timestamp,cpu_usage,cpu_core_avg,mem_usage,mem_pressure,cpu_rolling_5,mem_rolling_5,disk_read_diff,disk_write_diff,label
1774887602.6027577,9.7,9.677777777777775,80.2,0.9601841469411798,6.739999999999999,80.0,0.0,0.0,idle
1774887603.8132775,8.2,7.949999999999999,80.1,0.9599798458940426,6.739999999999999,80.0,0.0,-136245754735.75029,idle
1774887604.8165202,4.6,4.344444444444444,80.0,0.9598645050964413,6.739999999999999,80.0,0.0,-111437.5218448885,idle
1774887605.819353,4.6,4.527777777777778,80.0,0.9597363542504632,6.739999999999999,80.0,12253.28778898508,171562.70492402843,idle
1774887606.8215964,6.6,5.966666666666667,79.7,0.9590372287630358,6.739999999999999,80.0,-4079.6236097226047,5582737.581421354,idle
1774887607.824797,5.1,5.216666666666667,79.6,0.9588382662372428,5.819999999999999,79.88,-8173.664179262476,-5558317.764827193,idle
1774887608.8270953,5.3,4.85,79.6,0.9587954541123541,5.24,79.78,0.0,-106038.72858495133,idle
1774887609.8303535,4.3,4.172222222222222,79.5,0.9585628982877796,5.18,79.67999999999999,0.0,159100.12268433906,idle
1774887610.8392112,7.2,7.144444444444444,79.6,0.9587317870175288,5.7,79.6,81200.7459560019,201392.9806645218,idle
1774887611.8418026,8.3,8.133333333333333,79.7,0.9591025111160428,6.04,79.6,29105.409811668054,-131748.15349473903,idle
1774887613.3577578,15.0,14.572222222222225,81.2,0.9626242345576271,8.02,79.91999999999999,721887.2968495623,1329187.8868432983,cpu_bound
1774887614.3610437,48.9,50.47222222222222,84.3,0.9696536573040256,16.740000000000002,80.86,-374943.92192608194,-610901.7811818025,cpu_bound
1774887615.569337,85.5,87.62222222222222,85.1,0.9715264454001022,32.980000000000004,81.97999999999999,-121648.80053054099,-674403.6077347853,cpu_bound
1774887616.9802706,88.9,88.88888888888889,85.2,0.9716325255177962,49.32,83.1,-335600.7301606094,-269858.9443170674,cpu_bound
1774887618.396765,89.0,88.88888888888889,85.2,0.9716313908625027,65.46000000000001,84.2,0.0,71766.93893658425,cpu_bound
1774887619.81079,89.1,88.88888888888889,85.2,0.9716318901105052,80.28,85.0,0.0,-89439.03356144889,cpu_bound
1774887621.2211716,88.6,88.32777777777778,85.1,0.9714890127892291,88.22,85.16,363.0223310724632,29341.11390513432,cpu_bound
1774887622.4353597,88.8,88.88888888888889,85.1,0.9714800184897537,88.88000000000001,85.16,-363.0223310724632,13343.138683375553,cpu_bound
1774887624.1264694,86.7,86.25555555555555,79.8,0.9592953814838397,88.44,84.08000000000001,72662.33868774539,187805.07663255886,io_bound
1774887625.128081,27.1,26.177777777777777,80.7,0.9614034695311016,76.06,83.17999999999999,238132.675905935,142615260.1572613,io_bound
1774887626.1302557,16.2,15.738888888888887,80.7,0.9614512767591061,61.480000000000004,82.28,2679950.688465945,246900017.30169216,io_bound
1774887627.1318328,11.1,10.0,80.0,0.959851202607247,45.980000000000004,81.25999999999999,-2990745.7030596253,-42945172.76531124,io_bound
1774887628.135249,7.2,7.644444444444446,79.9,0.9594514135348914,29.660000000000004,80.22,0.0,8887821.709485352,io_bound
1774887629.1415954,8.2,7.111111111111111,80.0,0.959800543311606,13.959999999999999,80.26,65122.685683040014,-987400.7746841908,io_bound
1774887630.1429667,8.1,8.827777777777778,79.7,0.9590638889834705,10.16,80.06,-32399.561640884385,-33897114.90426278,io_bound
1774887631.1456568,11.5,10.216666666666669,79.9,0.9595383000259596,9.219999999999999,79.9,-32723.12404215563,-716180.1235707998,io_bound
1774887632.1472447,12.0,10.15,79.8,0.95922439288487,9.4,79.86,98148.15371329057,671353.285225153,io_bound
1774887633.1567311,11.6,8.038888888888888,79.8,0.9593095993589821,10.28,79.84,-25112.997113754376,-2664821.238100648,io_bound
1774887634.1766756,5.3,8.049999999999999,79.1,0.9576309740246323,9.7,79.66,-8780.675560105454,13491590.855387032,idle
1774887635.1779685,5.7,5.6,79.0,0.9574033620256737,9.22,79.52000000000001,-64254.481039430735,-331701710.65086627,idle
1774887636.1805542,4.9,4.533333333333333,79.0,0.9573835920053562,7.9,79.34,49025.23791856127,375860.1573756364,idle
1774887637.1825528,5.0,4.827777777777778,79.0,0.9573735172129162,6.5,79.17999999999999,-49025.23791856127,-130590.36901404773,idle
1774887638.1860468,4.0,3.755555555555555,79.1,0.9575275572934984,4.9799999999999995,79.03999999999999,0.0,-147308.0689872731,idle
1774887639.1899428,3.9,3.388888888888889,79.1,0.957519676126298,4.7,79.04,0.0,20361.294400533647,idle
1774887640.1935835,3.4,4.072222222222222,79.1,0.9575122223706699,4.24,79.06,0.0,20435.78070107766,idle
1774887641.1963348,4.0,3.761111111111111,79.1,0.9575127446045449,4.06,79.08,0.0,123.12580878176959,idle
1774887642.1989093,4.5,4.516666666666668,79.4,0.9582246566580164,3.96,79.16,99025959.2315202,65392.187501499604,idle
1774887643.2037706,3.5,3.183333333333333,79.4,0.9582198252678492,3.8600000000000003,79.22,-99009654.4946316,-12693.449345049798,idle
1774887644.6680791,8.8,9.333333333333334,80.6,0.9612914021251248,4.840000000000001,79.52,733351.5000195709,1285354.01725854,cpu_bound
1774887645.6697192,54.6,55.38333333333333,83.7,0.9683231545461591,15.080000000000002,80.44,-54476.388451209874,-180628.72298875963,cpu_bound
1774887646.7278466,88.5,88.88888888888889,84.4,0.969941808228132,31.98,81.50000000000001,-621631.0491722301,-967271.8506476271,cpu_bound
1774887648.0981767,89.3,88.88888888888889,84.5,0.9701866942495022,48.94,82.52000000000001,46013.63356483595,104379.71701640205,cpu_bound
1774887649.2062843,89.1,88.88888888888889,84.5,0.9701805803833199,66.06,83.54,-119562.4328495762,-307736.4893977608,cpu_bound
1774887650.3101325,88.9,88.88888888888889,84.6,0.9703145972833895,82.08,84.34,0.0,-125677.32968195296,cpu_bound
1774887651.4170184,88.7,88.88888888888889,84.5,0.970144948114453,88.9,84.5,155419.8119611874,307139.1522090132,cpu_bound
1774887652.61676,89.1,88.88888888888889,84.5,0.9701168456359899,89.02,84.52,-155419.8119611874,-208131.16598303628,cpu_bound
1774887653.83998,89.0,88.88888888888889,84.5,0.9700996473573116,88.96000000000001,84.52,0.0,175572.24895477155,cpu_bound
1774887655.5763738,83.4,82.8111111111111,79.4,0.958266672859924,87.82000000000001,83.5,5889612.853386615,-81149.47359961199,io_bound
1774887656.5798516,23.7,23.58333333333333,80.1,0.9600480406601272,74.78,82.6,35161092.51852442,44049245.53613624,io_bound
1774887657.5816815,16.8,16.48888888888889,80.2,0.960247105463309,60.4,81.74000000000001,-6905450.637196451,127802144.30179046,io_bound
1774887658.586712,13.9,11.816666666666668,80.3,0.9604301823345608,45.36,80.9,-21760833.249300264,145762563.17099288,io_bound
1774887659.6260958,14.7,12.772222222222222,80.2,0.9602881718650017,30.5,80.04,-8712583.852949433,-42999843.698263824,io_bound
1774887660.6349213,14.4,16.75,80.4,0.9606822667956701,16.7,80.24,-3405389.1840488994,3114939.8138279915,io_bound
1774887661.6385086,15.7,16.433333333333334,79.7,0.9590918743554536,15.1,80.16,-135844.95526669256,-23302807.27318546,io_bound
1774887662.6417575,14.8,13.605555555555556,79.5,0.9585100690543775,14.7,80.02000000000001,-130603.4931492986,29857170.045128018,io_bound
1774887663.643916,13.3,12.433333333333334,79.6,0.958792852393742,14.580000000000002,79.88000000000001,0.0,358607.5388138294,io_bound
1774887664.645842,11.2,12.166666666666666,79.6,0.9588339138908539,13.88,79.76,0.0,-861987.2525365949,io_bound
1774887665.6664145,11.3,11.305555555555555,79.1,0.9575155931629817,13.26,79.5,0.0,-3293895.0849381685,idle
1774887666.6710236,7.4,7.194444444444445,79.0,0.9573712836791565,11.6,79.36,0.0,-280471630.3155135,idle
1774887667.675665,14.7,14.422222222222224,79.2,0.9577741397719252,11.58,79.3,110081.10740927958,199770.26138651854,idle
1774887668.6789236,9.8,9.45,79.2,0.9577366622318699,10.879999999999999,79.22,-110081.10740927958,-252565.40554351045,idle
1774887669.6804495,12.6,12.55,79.3,0.9581642689172197,11.16,79.16,94064.44661836524,249743.6966377895,idle
1774887670.6828709,16.0,16.26111111111111,79.5,0.9584964839831558,12.1,79.24,48949.29699050335,-200580.74830116358,idle
1774887671.6882305,9.1,8.55,79.5,0.9585130511947265,12.44,79.34,-143013.7436088686,-126896.23374549333,idle
1774887672.6912904,7.2,6.988888888888889,79.4,0.9583609977311204,10.940000000000001,79.38,946862.7287814186,196185.72272842517,idle
1774887673.693217,11.1,10.355555555555556,79.5,0.9585820716271769,11.2,79.44000000000001,-946862.7287814186,-273594.8369956013,idle
1774887674.6954346,9.6,9.955555555555556,79.5,0.9585056195461333,10.6,79.47999999999999,0.0,93999.553057911,idle
1774887676.1293464,14.5,14.605555555555554,80.5,0.9609644914512614,10.3,79.67999999999999,754121.6968226526,1245709.0674338466,cpu_bound
1774887677.1378143,60.8,62.72222222222222,83.5,0.9679926839796452,20.639999999999997,80.47999999999999,-347961.0298819002,-336491.7731480993,cpu_bound
1774887678.250139,88.8,88.88888888888889,84.3,0.9698019707723415,36.96,81.46000000000001,-361972.131567792,-756497.5248446295,cpu_bound
1774887679.4427395,89.1,88.88888888888889,84.5,0.9701647941896768,52.56,82.46,-44188.535372960425,-81862.7742508731,cpu_bound
1774887680.6293151,89.2,88.88888888888889,84.5,0.9701450393589179,68.47999999999999,83.46,0.0,-130337.04672319815,cpu_bound
1774887681.7384405,88.8,88.8111111111111,84.5,0.970144902492227,83.34,84.25999999999999,14772.003129831248,150130.5375979328,cpu_bound
1774887682.910359,88.9,89.03333333333333,84.4,0.9698657493701047,88.96000000000001,84.44,-14772.003129831248,-160184.17171156834,cpu_bound
1774887684.1060083,88.9,88.88888888888889,84.4,0.9698546565478838,88.97999999999999,84.46000000000001,0.0,26920.41375493387,cpu_bound
1774887685.364227,77.3,75.47777777777777,84.6,0.9704042697690967,86.62,84.48,0.0,173236.06699591837,cpu_bound
1774887687.0984397,83.9,83.69444444444444,79.3,0.9581156178902264,85.56000000000002,83.44000000000001,151160.2616970959,165087.7015256509,io_bound
1774887688.1020906,19.4,19.466666666666665,79.8,0.9592257624922993,71.68,82.5,-130754.76506533503,38805.3795791532,io_bound
1774887689.1151006,16.7,14.072222222222225,79.6,0.9588007522011799,57.239999999999995,81.53999999999999,-20405.496631760885,212504769.20905772,io_bound
1774887690.118775,7.9,7.688888888888887,79.5,0.9585722718245451,41.040000000000006,80.56,0.0,139126879.711355,io_bound
1774887691.1207416,10.1,8.627777777777778,79.2,0.957834252280418,27.600000000000005,79.47999999999999,0.0,3845822.0584412813,io_bound
1774887692.1227047,6.9,8.11111111111111,79.2,0.9578486766093325,12.200000000000003,79.46000000000001,0.0,-35359711.16782379,io_bound
1774887693.1255393,10.3,8.072222222222223,79.5,0.9586546532143567,10.380000000000003,79.4,0.0,16210272.628908038,io_bound
1774887694.1271589,7.8,7.23888888888889,79.3,0.9580135900679423,8.600000000000005,79.34,0.0,-15912212.106838405,io_bound
1774887695.1291676,7.1,6.894444444444444,79.5,0.9585050041918618,8.440000000000001,79.34,0.0,12964510.243511736,io_bound
1774887696.131199,10.6,13.566666666666666,79.5,0.9585792310840527,8.540000000000003,79.4,0.0,-62254988.496858895,io_bound
1774887697.1540277,11.2,12.2,78.9,0.9570215363527015,9.400000000000002,79.34,0.0,-27266400.996265262,idle
1774887698.1571114,11.3,11.105555555555556,78.8,0.9568443066650123,9.600000000000003,79.2,0.0,-244222122.00075164,idle
1774887699.159658,8.5,7.800000000000001,78.9,0.9570292866344046,9.740000000000002,79.12,0.0,130774.08786905403,idle
1774887700.161811,6.8,6.583333333333333,78.8,0.9568143258643963,9.680000000000003,78.97999999999999,81743.99225376992,65472.175340244896,idle
1774887701.1633828,6.0,6.005555555555556,78.7,0.9566843645763269,8.760000000000002,78.82000000000001,616550.5294787367,220988.7917831678,idle
1774887702.1663291,8.8,8.077777777777778,78.8,0.9568562043288357,8.280000000000003,78.8,-698294.5217325066,-482569.5669952315,idle
1774887703.1699028,6.6,5.644444444444444,78.8,0.9568046657844196,7.340000000000003,78.8,81628.28857007578,232640.622424716,idle
1774887704.1722536,3.6,4.038888888888888,78.7,0.9566728847742836,6.360000000000003,78.75999999999999,-81628.28857007578,-114135.20581014056,idle
1774887705.1747148,6.0,4.638888888888889,78.7,0.9565056253043336,6.200000000000003,78.74000000000001,0.0,-16356.82421862689,idle
1774887706.1771736,5.6,6.116666666666667,78.7,0.9565283390607744,6.120000000000003,78.74,0.0,-102148.59239594857,idle
1774887707.6221237,13.1,13.005555555555556,79.9,0.9595356568588108,6.980000000000002,78.96,691666.7900154442,1340813.080644693,cpu_bound
1774887708.6372435,55.9,57.5,83.2,0.9673151531579549,16.840000000000003,79.84,-506057.2122966546,-735564.4576486401,cpu_bound
1774887709.78768,88.5,88.88888888888889,83.9,0.9688527216686768,33.82000000000001,80.88,-171368.02557342188,-359581.8484884595,cpu_bound
1774887711.1649044,89.2,88.88888888888889,83.9,0.9688353080389704,50.46,81.92,-14241.55214536773,-67220.88402413944,cpu_bound
1774887712.3569353,89.0,88.88888888888889,83.9,0.96884144856326,67.14000000000001,82.96000000000001,0.0,-106286.68763210563,cpu_bound
1774887713.467969,88.8,88.88888888888889,83.9,0.968846443524756,82.28,83.76,25806.59845541204,23693.87712589641,cpu_bound
1774887714.5790825,89.0,88.88888888888889,83.9,0.9688271055197496,88.9,83.9,-25806.59845541204,-33184.40399067115,cpu_bound
1774887715.6906486,88.9,88.88888888888889,83.8,0.9686223225396318,88.98,83.88000000000001,0.0,-62668.67598657353,cpu_bound
1774887716.799627,89.1,88.88888888888889,83.8,0.968612004367516,88.96000000000001,83.86,0.0,77563.27037169295,cpu_bound
1774887718.4039342,83.8,83.46666666666667,78.6,0.9563590798344925,87.92,82.8,89359.44578591139,177749.43187376816,io_bound
1774887719.4080143,20.1,19.95555555555556,79.3,0.9580846089951135,74.18,81.88,-73042.02568275374,55081138.22258794,io_bound
1774887720.410766,10.8,10.18888888888889,78.9,0.9570381306674881,58.540000000000006,80.88,-16317.420103157654,209793156.62263817,io_bound
1774887721.4128013,8.2,8.144444444444444,79.1,0.9575364356312218,42.400000000000006,79.94,0.0,55311804.600199014,io_bound
